ID,Membership,Regular Visits,Purchased Package,Uses Discounts,Referred Friends,Takes Survey,Attends Events,Feedback Provided
1,1,1,0,1,0,0,0,0
2,1,0,0,1,0,1,1,0
3,0,0,0,0,0,0,0,1
4,1,0,0,1,0,0,1,0
5,1,1,0,1,0,0,0,1
6,1,1,1,1,1,0,0,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,0,0,0
9,0,0,1,1,0,1,1,1
10,1,0,0,1,1,1,0,1
11,1,0,1,0,0,0,1,1
12,1,1,1,1,0,0,0,1
13,1,0,1,1,1,1,1,1
14,1,0,1,0,1,0,0,0
15,1,0,1,1,0,0,0,0
16,1,0,1,1,1,0,1,0
17,0,1,1,0,1,1,1,1
18,1,1,0,1,0,1,1,0
19,0,0,0,1,0,1,0,1
20,0,1,0,1,1,0,0,1
21,1,0,0,1,0,0,1,0
22,1,1,1,1,1,0,1,0
23,0,1,1,0,1,0,1,1
24,0,0,0,1,0,1,1,1
25,0,0,0,0,0,1,0,0
26,1,0,0,1,1,0,1,0
27,1,0,1,1,0,1,0,0
28,0,1,1,0,1,1,0,1
29,1,0,0,1,0,1,1,1
30,1,1,1,1,0,1,1,1
31,0,0,0,0,1,0,1,0
32,1,1,1,1,0,0,1,1
33,0,0,1,1,1,0,0,1
34,0,1,1,0,0,1,1,1
35,0,1,0,0,1,1,1,0
36,1,0,1,0,1,0,0,0
37,0,0,1,1,0,0,1,1
38,1,1,1,0,1,1,0,0
39,0,0,1,1,0,0,0,1
40,1,0,0,1,1,0,0,0
41,0,1,0,0,1,0,0,0
42,0,0,0,0,1,0,0,0
43,1,0,1,1,0,0,0,0
44,1,0,0,1,0,0,0,0
45,1,0,0,0,1,1,0,1
46,1,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,1,1,0,1,1,1,1,0
49,1,1,0,0,1,0,0,1
50,1,0,1,0,1,0,0,0
51,0,0,1,1,0,1,1,1
52,0,1,0,1,1,0,0,1
